achalasia-of-cardia.K11_ACHAL	K11_ACHAL
degeneration-of-macula-and-posterior-pole.H7_MACULADEGEN	H7_MACULADEGEN
dementia.F5_DEMENTIA	F5_DEMENTIA
demyelenating-diseases-of-the-central-nervous-system.G6_DEMYEL	G6_DEMYEL
depression-possibly-related-to-childbirth.20445	20445
depression-possibly-related-to-stressful-or-traumatic-event.20447	20447
depression.F5_DEPRESSIO	F5_DEPRESSIO
diabetes-diagnosed-by-doctor.2443	2443
diabetic-hypoglycemia.DM_HYPOGLYC	DM_HYPOGLYC
diabetic-ketoacidosis.DM_KETOACIDOSIS	DM_KETOACIDOSIS
diagnosed-with-life-threatening-illness.20528	20528
diagnoses-main-icd10-a04-other-bacterial-intestinal-infections.A04	A04
diagnoses-main-icd10-a08-viral-and-other-specified-intestinal-infections.A08	A08
diagnoses-main-icd10-a09-diarrhoea-and-gastro-enteritis-of-presumed-infectious-origin.A09	A09
diagnoses-main-icd10-a41-other-septicaemia.A41	A41
diagnoses-main-icd10-a63-other-predominantly-sexually-transmitted-diseases-not-elsewhere-classified.A63	A63
diagnoses-main-icd10-a87-viral-meningitis.A87	A87
diagnoses-main-icd10-b02-zoster-herpes-zoster.B02	B02
diagnoses-main-icd10-b07-viral-warts.B07	B07
diagnoses-main-icd10-b18-chronic-viral-hepatitis.B18	B18
diagnoses-main-icd10-b34-viral-infection-of-unspecified-site.B34	B34
diagnoses-main-icd10-b37-candidiasis.B37	B37
diagnoses-main-icd10-c01-malignant-neoplasm-of-base-of-tongue.C01	C01
diagnoses-main-icd10-c02-malignant-neoplasm-of-other-and-unspecified-parts-of-tongue.C02	C02
diagnoses-main-icd10-c09-malignant-neoplasm-of-tonsil.C09	C09
diagnoses-main-icd10-c15-malignant-neoplasm-of-oesophagus.C15	C15
diagnoses-main-icd10-c16-malignant-neoplasm-of-stomach.C16	C16
diagnoses-main-icd10-c17-malignant-neoplasm-of-small-intestine.C17	C17
diagnoses-main-icd10-c18-malignant-neoplasm-of-colon.C18	C18
diagnoses-main-icd10-c19-malignant-neoplasm-of-rectosigmoid-junction.C19	C19
diagnoses-main-icd10-c20-malignant-neoplasm-of-rectum.C20	C20
diagnoses-main-icd10-c21-malignant-neoplasm-of-anus-and-anal-canal.C21	C21
diagnoses-main-icd10-c22-malignant-neoplasm-of-liver-and-intrahepatic-bile-ducts.C22	C22
diagnoses-main-icd10-c25-malignant-neoplasm-of-pancreas.C25	C25
diagnoses-main-icd10-c32-malignant-neoplasm-of-larynx.C32	C32
diagnoses-main-icd10-c34-malignant-neoplasm-of-bronchus-and-lung.C34	C34
diagnoses-main-icd10-c43-malignant-melanoma-of-skin.C43	C43
diagnoses-main-icd10-c44-other-malignant-neoplasms-of-skin.C44	C44
diagnoses-main-icd10-c45-mesothelioma.C45	C45
diagnoses-main-icd10-c48-malignant-neoplasm-of-retroperitoneum-and-peritoneum.C48	C48
diagnoses-main-icd10-c49-malignant-neoplasm-of-other-connective-and-soft-tissue.C49	C49
diagnoses-main-icd10-c50-malignant-neoplasm-of-breast.C50	C50
diagnoses-main-icd10-c53-malignant-neoplasm-of-cervix-uteri.C53	C53
diagnoses-main-icd10-c54-malignant-neoplasm-of-corpus-uteri.C54	C54
diagnoses-main-icd10-c56-malignant-neoplasm-of-ovary.C56	C56
diagnoses-main-icd10-c61-malignant-neoplasm-of-prostate.C61	C61
diagnoses-main-icd10-c62-malignant-neoplasm-of-testis.C62	C62
diagnoses-main-icd10-c64-malignant-neoplasm-of-kidney-except-renal-pelvis.C64	C64
diagnoses-main-icd10-c67-malignant-neoplasm-of-bladder.C67	C67
diagnoses-main-icd10-c69-malignant-neoplasm-of-eye-and-adnexa.C69	C69
diagnoses-main-icd10-c71-malignant-neoplasm-of-brain.C71	C71
diagnoses-main-icd10-c73-malignant-neoplasm-of-thyroid-gland.C73	C73
diagnoses-main-icd10-c77-secondary-and-unspecified-malignant-neoplasm-of-lymph-nodes.C77	C77
diagnoses-main-icd10-c78-secondary-malignant-neoplasm-of-respiratory-and-digestive-organs.C78	C78
diagnoses-main-icd10-c79-secondary-malignant-neoplasm-of-other-sites.C79	C79
diagnoses-main-icd10-c80-malignant-neoplasm-without-specification-of-site.C80	C80
diagnoses-main-icd10-c81-hodgkins-disease.C81	C81
diagnoses-main-icd10-c82-follicular-nodular-non-hodgkins-lymphoma.C82	C82
diagnoses-main-icd10-c83-diffuse-non-hodgkins-lymphoma.C83	C83
diagnoses-main-icd10-c85-other-and-unspecified-types-of-non-hodgkins-lymphoma.C85	C85
diagnoses-main-icd10-c90-multiple-myeloma-and-malignant-plasma-cell-neoplasms.C90	C90
diagnoses-main-icd10-c91-lymphoid-leukaemia.C91	C91
diagnoses-main-icd10-c92-myeloid-leukaemia.C92	C92
diagnoses-main-icd10-d03-melanoma-in-situ.D03	D03
diagnoses-main-icd10-d04-carcinoma-in-situ-of-skin.D04	D04
diagnoses-main-icd10-d05-carcinoma-in-situ-of-breast.D05	D05
diagnoses-main-icd10-d06-carcinoma-in-situ-of-cervix-uteri.D06	D06
diagnoses-main-icd10-d07-carcinoma-in-situ-of-other-and-unspecified-genital-organs.D07	D07
diagnoses-main-icd10-d09-carcinoma-in-situ-of-other-and-unspecified-sites.D09	D09
diagnoses-main-icd10-d10-benign-neoplasm-of-mouth-and-pharynx.D10	D10
diagnoses-main-icd10-d11-benign-neoplasm-of-major-salivary-glands.D11	D11
diagnoses-main-icd10-d12-benign-neoplasm-of-colon-rectum-anus-and-anal-canal.D12	D12
diagnoses-main-icd10-d13-benign-neoplasm-of-other-and-ill-defined-parts-of-digestive-system.D13	D13
diagnoses-main-icd10-d14-benign-neoplasm-of-middle-ear-and-respiratory-system.D14	D14
diagnoses-main-icd10-d16-benign-neoplasm-of-bone-and-articular-cartilage.D16	D16
diagnoses-main-icd10-d17-benign-lipomatous-neoplasm.D17	D17
diagnoses-main-icd10-d18-haemangioma-and-lymphangioma-any-site.D18	D18
diagnoses-main-icd10-d21-other-benign-neoplasms-of-connective-and-other-soft-tissue.D21	D21
diagnoses-main-icd10-d22-melanocytic-naevi.D22	D22
diagnoses-main-icd10-d23-other-benign-neoplasms-of-skin.D23	D23
diagnoses-main-icd10-d24-benign-neoplasm-of-breast.D24	D24
diagnoses-main-icd10-d25-leiomyoma-of-uterus.D25	D25
diagnoses-main-icd10-d26-other-benign-neoplasms-of-uterus.D26	D26
diagnoses-main-icd10-d27-benign-neoplasm-of-ovary.D27	D27
diagnoses-main-icd10-d28-benign-neoplasm-of-other-and-unspecified-female-genital-organs.D28	D28
diagnoses-main-icd10-d30-benign-neoplasm-of-urinary-organs.D30	D30
diagnoses-main-icd10-d32-benign-neoplasm-of-meninges.D32	D32
diagnoses-main-icd10-d33-benign-neoplasm-of-brain-and-other-parts-of-central-nervous-system.D33	D33
diagnoses-main-icd10-d34-benign-neoplasm-of-thyroid-gland.D34	D34
diagnoses-main-icd10-d35-benign-neoplasm-of-other-and-unspecified-endocrine-glands.D35	D35
diagnoses-main-icd10-d36-benign-neoplasm-of-other-and-unspecified-sites.D36	D36
diagnoses-main-icd10-d37-neoplasm-of-uncertain-or-unknown-behaviour-of-oral-cavity-and-digestive-organs.D37	D37
diagnoses-main-icd10-d38-neoplasm-of-uncertain-or-unknown-behaviour-of-middle-ear-and-respiratory-and-intrathoracic-organs.D38	D38
diagnoses-main-icd10-d39-neoplasm-of-uncertain-or-unknown-behaviour-of-female-genital-organs.D39	D39
diagnoses-main-icd10-d41-neoplasm-of-uncertain-or-unknown-behaviour-of-urinary-organs.D41	D41
diagnoses-main-icd10-d43-neoplasm-of-uncertain-or-unknown-behaviour-of-brain-and-central-nervous-system.D43	D43
diagnoses-main-icd10-d44-neoplasm-of-uncertain-or-unknown-behaviour-of-endocrine-glands.D44	D44
diagnoses-main-icd10-d45-polycythaemia-vera.D45	D45
diagnoses-main-icd10-d47-other-neoplasms-of-uncertain-or-unknown-behaviour-of-lymphoid-haematopoietic-and-related-tissue.D47	D47
diagnoses-main-icd10-d48-neoplasm-of-uncertain-or-unknown-behaviour-of-other-and-unspecified-sites.D48	D48
diagnoses-main-icd10-d50-iron-deficiency-anaemia.D50	D50
diagnoses-main-icd10-d61-other-aplastic-anaemias.D61	D61
diagnoses-main-icd10-d63-anaemia-in-chronic-diseases-classified-elsewhere.D63	D63
diagnoses-main-icd10-d64-other-anaemias.D64	D64
diagnoses-main-icd10-d69-purpura-and-other-haemorrhagic-conditions.D69	D69
diagnoses-main-icd10-d70-agranulocytosis.D70	D70
diagnoses-main-icd10-d75-other-diseases-of-blood-and-blood-forming-organs.D75	D75
diagnoses-main-icd10-d86-sarcoidosis.D86	D86
diagnoses-main-icd10-d89-other-disorders-involving-the-immune-mechanism-not-elsewhere-classified.D89	D89
diagnoses-main-icd10-e03-other-hypothyroidism.E03	E03
diagnoses-main-icd10-e04-other-non-toxic-goitre.E04	E04
diagnoses-main-icd10-e05-thyrotoxicosis-hyperthyroidism.E05	E05
diagnoses-main-icd10-e10-insulin-dependent-diabetes-mellitus.E10	E10
diagnoses-main-icd10-e11-non-insulin-dependent-diabetes-mellitus.E11	E11
diagnoses-main-icd10-e14-unspecified-diabetes-mellitus.E14	E14
diagnoses-main-icd10-e16-other-disorders-of-pancreatic-internal-secretion.E16	E16
diagnoses-main-icd10-e21-hyperparathyroidism-and-other-disorders-of-parathyroid-gland.E21	E21
diagnoses-main-icd10-e22-hyperfunction-of-pituitary-gland.E22	E22
diagnoses-main-icd10-e23-hypofunction-and-other-disorders-of-pituitary-gland.E23	E23
diagnoses-main-icd10-e27-other-disorders-of-adrenal-gland.E27	E27
diagnoses-main-icd10-e66-obesity.E66	E66
diagnoses-main-icd10-e83-disorders-of-mineral-metabolism.E83	E83
diagnoses-main-icd10-e86-volume-depletion.E86	E86
diagnoses-main-icd10-e87-other-disorders-of-fluid-electrolyte-and-acid-base-balance.E87	E87
diagnoses-main-icd10-f05-delirium-not-induced-by-alcohol-and-other-psychoactive-substances.F05	F05
diagnoses-main-icd10-f10-mental-and-behavioural-disorders-due-to-use-of-alcohol.F10	F10
diagnoses-main-icd10-f20-schizophrenia.F20	F20
diagnoses-main-icd10-f31-bipolar-affective-disorder.F31	F31
diagnoses-main-icd10-f32-depressive-episode.F32	F32
diagnoses-main-icd10-f33-recurrent-depressive-disorder.F33	F33
diagnoses-main-icd10-f41-other-anxiety-disorders.F41	F41
diagnoses-main-icd10-f43-reaction-to-severe-stress-and-adjustment-disorders.F43	F43
diagnoses-main-icd10-f45-somatoform-disorders.F45	F45
diagnoses-main-icd10-f52-sexual-dysfunction-not-caused-by-organic-disorder-or-disease.F52	F52
diagnoses-main-icd10-f99-mental-disorder-not-otherwise-specified.F99	F99
diagnoses-main-icd10-g12-spinal-muscular-atrophy-and-related-syndromes.G12	G12
diagnoses-main-icd10-g20-parkinsons-disease.G20	G20
diagnoses-main-icd10-g24-dystonia.G24	G24
diagnoses-main-icd10-g35-multiple-sclerosis.G35	G35
diagnoses-main-icd10-g37-other-demyelinating-diseases-of-central-nervous-system.G37	G37
diagnoses-main-icd10-g40-epilepsy.G40	G40
diagnoses-main-icd10-g43-migraine.G43	G43
diagnoses-main-icd10-g44-other-headache-syndromes.G44	G44
diagnoses-main-icd10-g45-transient-cerebral-ischaemic-attacks-and-related-syndromes.G45	G45
diagnoses-main-icd10-g47-sleep-disorders.G47	G47
diagnoses-main-icd10-g50-disorders-of-trigeminal-nerve.G50	G50
diagnoses-main-icd10-g51-facial-nerve-disorders.G51	G51
diagnoses-main-icd10-g54-nerve-root-and-plexus-disorders.G54	G54
diagnoses-main-icd10-g56-mononeuropathies-of-upper-limb.G56	G56
diagnoses-main-icd10-g57-mononeuropathies-of-lower-limb.G57	G57
diagnoses-main-icd10-g58-other-mononeuropathies.G58	G58
diagnoses-main-icd10-g61-inflammatory-polyneuropathy.G61	G61
diagnoses-main-icd10-g62-other-polyneuropathies.G62	G62
diagnoses-main-icd10-g81-hemiplegia.G81	G81
diagnoses-main-icd10-g93-other-disorders-of-brain.G93	G93
diagnoses-main-icd10-g95-other-diseases-of-spinal-cord.G95	G95
diagnoses-main-icd10-h00-hordeolum-and-chalazion.H00	H00
diagnoses-main-icd10-h01-other-inflammation-of-eyelid.H01	H01
diagnoses-main-icd10-h02-other-disorders-of-eyelid.H02	H02
diagnoses-main-icd10-h04-disorders-of-lachrymal-system.H04	H04
diagnoses-main-icd10-h05-disorders-of-orbit.H05	H05
diagnoses-main-icd10-h11-other-disorders-of-conjunctiva.H11	H11
diagnoses-main-icd10-h16-keratitis.H16	H16
diagnoses-main-icd10-h18-other-disorders-of-cornea.H18	H18
diagnoses-main-icd10-h25-senile-cataract.H25	H25
diagnoses-main-icd10-h26-other-cataract.H26	H26
diagnoses-main-icd10-h27-other-disorders-of-lens.H27	H27
diagnoses-main-icd10-h33-retinal-detachments-and-breaks.H33	H33
diagnoses-main-icd10-h34-retinal-vascular-occlusions.H34	H34
diagnoses-main-icd10-h35-other-retinal-disorders.H35	H35
diagnoses-main-icd10-h40-glaucoma.H40	H40
diagnoses-main-icd10-h43-disorders-of-vitreous-body.H43	H43
diagnoses-main-icd10-h49-paralytic-strabismus.H49	H49
diagnoses-main-icd10-h50-other-strabismus.H50	H50
diagnoses-main-icd10-h52-disorders-of-refraction-and-accommodation.H52	H52
diagnoses-main-icd10-h53-visual-disturbances.H53	H53
diagnoses-main-icd10-h57-other-disorders-of-eye-and-adnexa.H57	H57
diagnoses-main-icd10-h59-postprocedural-disorders-of-eye-and-adnexa-not-elsewhere-classified.H59	H59
diagnoses-main-icd10-h60-otitis-externa.H60	H60
diagnoses-main-icd10-h61-other-disorders-of-external-ear.H61	H61
diagnoses-main-icd10-h65-nonsuppurative-otitis-media.H65	H65
diagnoses-main-icd10-h66-suppurative-and-unspecified-otitis-media.H66	H66
diagnoses-main-icd10-h69-other-disorders-of-eustachian-tube.H69	H69
diagnoses-main-icd10-h71-cholesteatoma-of-middle-ear.H71	H71
diagnoses-main-icd10-h72-perforation-of-tympanic-membrane.H72	H72
diagnoses-main-icd10-h73-other-disorders-of-tympanic-membrane.H73	H73
diagnoses-main-icd10-h74-other-disorders-of-middle-ear-and-mastoid.H74	H74
diagnoses-main-icd10-h80-otosclerosis.H80	H80
diagnoses-main-icd10-h81-disorders-of-vestibular-function.H81	H81
diagnoses-main-icd10-h83-other-diseases-of-inner-ear.H83	H83
diagnoses-main-icd10-h90-conductive-and-sensorineural-hearing-loss.H90	H90
diagnoses-main-icd10-h91-other-hearing-loss.H91	H91
diagnoses-main-icd10-h92-otalgia-and-effusion-of-ear.H92	H92
diagnoses-main-icd10-h93-other-disorders-of-ear-not-elsewhere-classified.H93	H93
diagnoses-main-icd10-i08-multiple-valve-diseases.I08	I08
diagnoses-main-icd10-i10-essential-primary-hypertension.I10	I10
diagnoses-main-icd10-i12-hypertensive-renal-disease.I12	I12
diagnoses-main-icd10-i20-angina-pectoris.I20	I20
diagnoses-main-icd10-i21-acute-myocardial-infarction.I21	I21
diagnoses-main-icd10-i22-subsequent-myocardial-infarction.I22	I22
diagnoses-main-icd10-i24-other-acute-ischaemic-heart-diseases.I24	I24
diagnoses-main-icd10-i25-chronic-ischaemic-heart-disease.I25	I25
diagnoses-main-icd10-i26-pulmonary-embolism.I26	I26
diagnoses-main-icd10-i27-other-pulmonary-heart-diseases.I27	I27
diagnoses-main-icd10-i30-acute-pericarditis.I30	I30
diagnoses-main-icd10-i31-other-diseases-of-pericardium.I31	I31
diagnoses-main-icd10-i33-acute-and-subacute-endocarditis.I33	I33
diagnoses-main-icd10-i34-nonrheumatic-mitral-valve-disorders.I34	I34
diagnoses-main-icd10-i35-nonrheumatic-aortic-valve-disorders.I35	I35
diagnoses-main-icd10-i42-cardiomyopathy.I42	I42
diagnoses-main-icd10-i44-atrioventricular-and-left-bundle-branch-block.I44	I44
diagnoses-main-icd10-i45-other-conduction-disorders.I45	I45
diagnoses-main-icd10-i46-cardiac-arrest.I46	I46
diagnoses-main-icd10-i47-paroxysmal-tachycardia.I47	I47
diagnoses-main-icd10-i48-atrial-fibrillation-and-flutter.I48	I48
diagnoses-main-icd10-i49-other-cardiac-arrhythmias.I49	I49
diagnoses-main-icd10-i50-heart-failure.I50	I50
diagnoses-main-icd10-i51-complications-and-ill-defined-descriptions-of-heart-disease.I51	I51
diagnoses-main-icd10-i60-subarachnoid-haemorrhage.I60	I60
diagnoses-main-icd10-i61-intracerebral-haemorrhage.I61	I61
diagnoses-main-icd10-i62-other-nontraumatic-intracranial-haemorrhage.I62	I62
diagnoses-main-icd10-i63-cerebral-infarction.I63	I63
diagnoses-main-icd10-i64-stroke-not-specified-as-haemorrhage-or-infarction.I64	I64
diagnoses-main-icd10-i65-occlusion-and-stenosis-of-precerebral-arteries-not-resulting-in-cerebral-infarction.I65	I65
diagnoses-main-icd10-i67-other-cerebrovascular-diseases.I67	I67
diagnoses-main-icd10-i70-atherosclerosis.I70	I70
diagnoses-main-icd10-i71-aortic-aneurysm-and-dissection.I71	I71
diagnoses-main-icd10-i72-other-aneurysm.I72	I72
diagnoses-main-icd10-i73-other-peripheral-vascular-diseases.I73	I73
diagnoses-main-icd10-i74-arterial-embolism-and-thrombosis.I74	I74
diagnoses-main-icd10-i77-other-disorders-of-arteries-and-arterioles.I77	I77
diagnoses-main-icd10-i78-diseases-of-capillaries.I78	I78
diagnoses-main-icd10-i80-phlebitis-and-thrombophlebitis.I80	I80
diagnoses-main-icd10-i82-other-venous-embolism-and-thrombosis.I82	I82
diagnoses-main-icd10-i83-varicose-veins-of-lower-extremities.I83	I83
diagnoses-main-icd10-i84-haemorrhoids.I84	I84
diagnoses-main-icd10-i85-oesophageal-varices.I85	I85
diagnoses-main-icd10-i86-varicose-veins-of-other-sites.I86	I86
diagnoses-main-icd10-i87-other-disorders-of-veins.I87	I87
diagnoses-main-icd10-i89-other-non-infective-disorders-of-lymphatic-vessels-and-lymph-nodes.I89	I89
diagnoses-main-icd10-i95-hypotension.I95	I95
diagnoses-main-icd10-j01-acute-sinusitis.J01	J01
diagnoses-main-icd10-j02-acute-pharyngitis.J02	J02
diagnoses-main-icd10-j03-acute-tonsillitis.J03	J03
diagnoses-main-icd10-j06-acute-upper-respiratory-infections-of-multiple-and-unspecified-sites.J06	J06
diagnoses-main-icd10-j13-pneumonia-due-to-streptococcus-pneumoniae.J13	J13
diagnoses-main-icd10-j15-bacterial-pneumonia-not-elsewhere-classified.J15	J15
diagnoses-main-icd10-j18-pneumonia-organism-unspecified.J18	J18
diagnoses-main-icd10-j20-acute-bronchitis.J20	J20
diagnoses-main-icd10-j22-unspecified-acute-lower-respiratory-infection.J22	J22
diagnoses-main-icd10-j31-chronic-rhinitis-nasopharyngitis-and-pharyngitis.J31	J31
diagnoses-main-icd10-j32-chronic-sinusitis.J32	J32
diagnoses-main-icd10-j33-nasal-polyp.J33	J33
diagnoses-main-icd10-j34-other-disorders-of-nose-and-nasal-sinuses.J34	J34
diagnoses-main-icd10-j35-chronic-diseases-of-tonsils-and-adenoids.J35	J35
diagnoses-main-icd10-j36-peritonsillar-abscess.J36	J36
diagnoses-main-icd10-j38-diseases-of-vocal-cords-and-larynx-not-elsewhere-classified.J38	J38
diagnoses-main-icd10-j39-other-diseases-of-upper-respiratory-tract.J39	J39
diagnoses-main-icd10-j40-bronchitis-not-specified-as-acute-or-chronic.J40	J40
diagnoses-main-icd10-j43-emphysema.J43	J43
diagnoses-main-icd10-j44-other-chronic-obstructive-pulmonary-disease.J44	J44
diagnoses-main-icd10-j45-asthma.J45	J45
diagnoses-main-icd10-j46-status-asthmaticus.J46	J46
diagnoses-main-icd10-j47-bronchiectasis.J47	J47
diagnoses-main-icd10-j69-pneumonitis-due-to-solids-and-liquids.J69	J69
diagnoses-main-icd10-j84-other-interstitial-pulmonary-diseases.J84	J84
diagnoses-main-icd10-j86-pyothorax.J86	J86
diagnoses-main-icd10-j90-pleural-effusion-not-elsewhere-classified.J90	J90
diagnoses-main-icd10-j93-pneumothorax.J93	J93
diagnoses-main-icd10-j96-respiratory-failure-not-elsewhere-classified.J96	J96
diagnoses-main-icd10-j98-other-respiratory-disorders.J98	J98
diagnoses-main-icd10-k00-disorders-of-tooth-development-and-eruption.K00	K00
diagnoses-main-icd10-k01-embedded-and-impacted-teeth.K01	K01
diagnoses-main-icd10-k02-dental-caries.K02	K02
